type_or_file,rows
--- by type ---,
DOCX,72
PDF,396
XLSX,3
--- by file ---,
Access Right Management Standard 20250331.pdf,12
Accounting and Personal Data Policy_2018-05-18.pdf,8
BCP Short Version 2025-05-26.pdf,6
DPA_Advertiser_DE_20191030.docx,16
DPA_Advertiser_DE_20191030.pdf,19
DPA_Advertiser_ENG_20191017.docx,13
DPA_Advertiser_ENG_20191017.pdf,14
DPA_Advertiser_ES_20191021.docx,14
DPA_Advertiser_ES_20191021.pdf,14
DPA_Advertiser_FR_20191016.docx,15
DPA_Advertiser_FR_20191016.pdf,15
DPA_Advertiser_NL_20191017.docx,14
DPA_Advertiser_NL_20191017.pdf,14
Data flows_TD standard tracking.pdf,2
Databreach Policy_20250331.pdf,8
Flow chart advertiser personal data  2019-07-01.pdf,3
GDPR Client Policy_20250331.pdf,12
GDPR FAQ and GDPR Info Guide_2020-07-09.pdf,34
General data flow Appiness.pdf,1
Handbook GDPR Human Resources_2018-07-02.pdf,9
IT Incident Management Standard 2025-06-24.pdf,17
IT User Guidelines 20260312.pdf,12
Information Classification Guidelines 20260312.pdf,10
Information Security Policy 2025-10-08.pdf,5
Information Security Standard 20260312.pdf,45
Instruction Information Security Standard interpretation for MacOS and Linux.pdf,6
Integrity Policy_2018-10-05.pdf,8
List of Data Processors_ALL_2025-11-25.pdf,5
List of SubProcessors_advertiser personal data_2024-10-17.pdf,3
Metapic Privacy Policy_20240208.pdf,19
Personal data flow Appiness.pdf,1
Privacy Policy 20250428_3.0.pdf,46
Publisher Agreement updates general template and DPA 20180327_clean.pdf,30
Requests from data subjects_manual_PP 2021-03-29.pdf,18
Sub-processors´ contact details.xlsx,1
Termination Checklist 2019-08-22.xlsx,2
